,rep,s,p,m,MaxDev,epsilon
0,0.0,10.0,2.0,15.0,0.17012432722486373,0.1
0,9.0,10.0,3.0,14.0,0.1469895668971675,0.1
0,9.0,10.0,4.0,11.0,0.12589317946498074,0.1
0,9.0,10.0,5.0,11.0,0.12802192282671596,0.1
0,9.0,10.0,6.0,11.0,0.11948612938766474,0.1
0,9.0,10.0,7.0,11.0,0.10080938148773357,0.1
0,9.0,10.0,8.0,10.0,0.09137911008117242,0.1
0,9.0,10.0,9.0,9.0,0.08030105018399238,0.1
0,1.0,10.0,2.0,14.0,0.17901295556288538,0.1
0,9.0,10.0,3.0,12.0,0.14197918821468386,0.1
0,9.0,10.0,4.0,13.0,0.12651601239725105,0.1
0,9.0,10.0,5.0,10.0,0.11643613088894537,0.1
0,9.0,10.0,6.0,10.0,0.11039192220603991,0.1
0,9.0,10.0,7.0,9.0,0.09062398938033042,0.1
0,9.0,10.0,8.0,8.0,0.08218963656937524,0.1
0,2.0,10.0,2.0,17.0,0.1902611505328623,0.1
0,9.0,10.0,3.0,12.0,0.15522254770974703,0.1
0,9.0,10.0,4.0,11.0,0.13841657991212228,0.1
0,9.0,10.0,5.0,11.0,0.11431057003087582,0.1
0,9.0,10.0,6.0,10.0,0.10230694973837103,0.1
0,9.0,10.0,7.0,10.0,0.09469087728200302,0.1
0,9.0,10.0,8.0,9.0,0.08705997204253574,0.1
0,3.0,10.0,2.0,15.0,0.19584552926003035,0.1
0,9.0,10.0,3.0,13.0,0.14845019636947285,0.1
0,9.0,10.0,4.0,11.0,0.12518803697079914,0.1
0,9.0,10.0,5.0,10.0,0.11680637892366454,0.1
0,9.0,10.0,6.0,10.0,0.11453127221013301,0.1
0,9.0,10.0,7.0,9.0,0.09456423297556815,0.1
0,9.0,10.0,8.0,9.0,0.09651035670533267,0.1
0,4.0,10.0,2.0,14.0,0.22369294582314916,0.1
0,9.0,10.0,3.0,12.0,0.14279001584205067,0.1
0,9.0,10.0,4.0,13.0,0.12895230372895108,0.1
0,9.0,10.0,5.0,10.0,0.12991107305854327,0.1
0,9.0,10.0,6.0,9.0,0.12147639232893433,0.1
0,9.0,10.0,7.0,9.0,0.10912919747044973,0.1
0,9.0,10.0,8.0,9.0,0.0985251845325956,0.1
0,5.0,10.0,2.0,14.0,0.2092153964886156,0.1
0,9.0,10.0,3.0,12.0,0.16071469321194487,0.1
0,9.0,10.0,4.0,11.0,0.12925079794354447,0.1
0,9.0,10.0,5.0,9.0,0.11056602605352442,0.1
0,9.0,10.0,6.0,10.0,0.10312904515974011,0.1
0,9.0,10.0,7.0,9.0,0.09423829684753386,0.1
0,9.0,10.0,8.0,8.0,0.09276155277386965,0.1
0,6.0,10.0,2.0,12.0,0.2189810282637536,0.1
0,9.0,10.0,3.0,14.0,0.13878120423438353,0.1
0,9.0,10.0,4.0,12.0,0.1365070916657932,0.1
0,9.0,10.0,5.0,10.0,0.1224902886330884,0.1
0,9.0,10.0,6.0,10.0,0.10159630656252437,0.1
0,9.0,10.0,7.0,11.0,0.09805452070963751,0.1
0,9.0,10.0,8.0,10.0,0.09695116381977385,0.1
0,9.0,10.0,9.0,9.0,0.08292989309645118,0.1
