X,Y,Z
-64.74385304734618,14.483945309082346,-12.01315276007488
-64.30824441896034,8.139181745807532,-12.182070839253145
-64.30831623310874,8.535909288175896,-12.204026500276393
-64.30824798163854,8.931963124820365,-12.10206472130546
-64.3082030266075,9.328129015690147,-12.0207135327594
-64.3085786212975,9.726317720989032,-12.311426847694946
-64.30852255473812,10.122430166192991,-12.22024517997533
-64.30856642003977,10.519023276584283,-12.217474219474878
-64.30862104461201,10.91566813830651,-12.224222092235898
-64.30865286880969,11.312203331838957,-12.2107982478025
-64.30876905402883,12.105526417312205,-12.230430407263082
-64.30880740132709,12.50209298649722,-12.222777614513157
-64.30888086506076,13.295210584645403,-12.204613652652657
-64.3089593184507,13.69197006129633,-12.23244311645098
-64.30903492259829,14.088715833292902,-12.257751827299849
-64.3091142438407,15.278243727035303,-12.203191034119662
-63.87270333953349,1.3983609668587644,-12.452329178745718
-63.872711532162896,1.7947824942183126,-12.417998251796709
-63.872598001207805,2.190618539741258,-12.275977264067242
-63.87270395562552,3.3802745371741225,-12.244979104848747
-63.872766216422804,3.776956128599018,-12.258482821542097
-63.87276179311408,4.173316974188067,-12.21299044918983
-63.87294563018704,4.966965460295746,-12.292474873774076
-63.87312817605071,5.7606077357780565,-12.370816952707811
-63.873199326114154,6.553714205336007,-12.350606063882278
-63.87324776013576,6.9503292909473835,-12.351877095188325
-63.87339452307598,7.347417331706133,-12.440140694656247
-63.87338307576211,7.743744392326943,-12.388434115378873
-63.8734512472612,8.140454413809673,-12.407167088498353
-63.873868341626995,12.502663943527914,-12.31880530441402
-63.8736298697128,14.483427517434952,-11.899931703444159
-63.87357234456698,14.879532946941376,-11.807459609868603
-63.87376627614492,15.276847865513156,-11.937453770303646
-63.87368207784599,15.672824999038676,-11.821383673990818
-63.87379544613829,16.069752413901714,-11.880102697706377
-63.8738255451932,16.466279309619335,-11.865152602368049
-63.87402187180783,16.86360574814829,-11.997265675484549
-63.87399915950619,17.25987862497426,-11.935592849953931
-63.8742866351075,17.65764348368567,-12.148346334350546
-63.874345270244284,18.054307635939846,-12.158642393286005
-63.87419282294404,18.449956496593746,-11.9821917295652
-63.874267352380734,18.846697099306876,-12.006549633051
-63.874529769800134,19.24434142993468,-12.197133895713563
-63.8740637628388,20.03486421217601,-11.701694866923411
-63.874259434981134,20.432187502739502,-11.833228921920847
-63.87397390775485,20.82719625835683,-11.539041129579347
-63.43678778355791,-3.3623504108611098,-12.18338926997942
-63.43688581109932,-2.965496783925361,-12.228536179448147
-63.437119540045956,-2.5679904428235396,-12.393739466113974
-63.43712486687296,-2.1715826997708922,-12.356873135418585
-63.4372895454794,-1.7744084859240952,-12.460986902226006
-63.43736670944417,-1.3776552113171383,-12.487675598796102
-63.437245555500276,-0.9818558318313668,-12.338910477377992
-63.438409291530874,10.51882317655594,-12.16268747733398
-63.43843874694337,10.915346976399036,-12.147167945185197
-63.43816023293305,11.706771586480585,-11.817605787143872
-63.43850901631039,12.50121345265198,-12.043019840872411
-63.43862677105984,12.898161966063832,-12.105619606662769
-63.43862285483391,13.294525250685247,-12.060575855486533
-63.43870825447584,13.69131813831717,-12.094550737212174
-63.43875433023708,14.48430400225403,-12.05215636487722
-63.43860483532531,14.879967063687758,-11.878317708477008
-63.43871568382295,15.276882358516557,-11.934807444889717
-63.43871847421567,15.673277901499592,-11.895697105648829
-63.43844380914392,17.257485267486114,-11.486382087045659
-63.4382355215211,17.652865540135792,-11.260528936880114
-63.43862616700087,18.051126638669277,-11.56455783456067
-63.438686820890254,18.84418262237206,-11.535060876598887
-63.43869783944509,19.24061774223316,-11.503230073867686
-63.43875053134169,20.430017550704747,-11.425110034714574
-63.438861709000825,20.826934428777122,-11.48189098356182
-63.438988109819476,21.223924529170613,-11.55214001241424
-63.43900175649277,21.620372290095748,-11.52263433212005
-63.43909167575888,22.017186916800465,-11.560607770120052
-63.439170191364525,22.413946692704354,-11.588492276735016
-63.00066726936903,-11.691486715618888,-12.10733204593964
-63.00080294007653,-10.898069906324102,-12.14420320994098
-63.00085360048524,-10.105061990556964,-12.105864920637522
-63.001073360596,-9.70762283856821,-12.2587098398664
-63.003084525177364,9.72477466906752,-12.00063472547105
-63.003236339703086,10.121887007595381,-12.093367512655705
-63.00330464384454,10.518597667078568,-12.112217835789522
-63.003327551820966,10.91508997421702,-12.09090572210246
-63.00306751728676,11.310221347881045,-11.819271566915669
-63.003476336264136,11.708569859653364,-12.139378737935449
-63.00334058491098,12.104299026632436,-11.97769914395454
-63.0033788800796,12.500865345077651,-11.970000231611232
-63.00339546585915,12.89732724289606,-11.943094807721591
-63.00320166266645,13.292777184630713,-11.730056176346537
-63.002994873361615,13.688164664083983,-11.505528602943087
-63.00298190487029,14.084484407948777,-11.45247622290617
-63.003137046835135,14.481612751223654,-11.548152828449238
-63.003320005826765,14.878874892430998,-11.668439433098516
-63.00299684850569,15.273702649952432,-11.340959923192333
-63.00327848629336,16.067821550584224,-11.506969608725163
