X,Y,Z
-64.65422683706981,14.366387557408911,-12.333833443979048
-64.21952607088436,8.030435476382218,-12.306078058848026
-64.21947035358137,8.426694890958624,-12.21655535322104
-64.21949251773054,8.822660827361428,-12.229448607227898
-64.21932011163386,9.219359956569473,-11.986477366021186
-64.21934559718817,9.615313377028098,-12.003738346656295
-64.21939268117211,10.011185408818255,-12.049401775359248
-64.21943158980946,10.407088247504495,-12.084314429034801
-64.21952827930824,10.802773352427021,-12.195210288105702
-64.21955820982284,11.19871002308463,-12.218316497126123
-64.21961124665414,11.990609079805452,-12.255554932802843
-64.21973106512621,12.386207028561218,-12.39686594116042
-64.21972996285913,13.1783100959067,-12.362910176452756
-64.21981953632844,13.574022015934611,-12.464448287684663
-64.21970420277052,13.97050608052875,-12.29652879068608
-64.21960097732031,15.159043432237443,-12.112025485672019
-63.78488130178896,1.298222926466149,-12.3682133061043
-63.7848148427431,1.6945228188070174,-12.264564953448083
-63.78486224145974,2.0903936646001706,-12.31064226308719
-63.78487829612325,3.2784815368893243,-12.282995141012838
-63.784979855162256,3.6741482920800412,-12.40029456112173
-63.78492132256705,4.070418315431639,-12.30706967935608
-63.784978782328686,4.86230070536616,-12.350124373503501
-63.78508095054777,5.654014621857137,-12.451971751234428
-63.784982772193416,6.446483497902885,-12.290358625775832
-63.7850046864938,6.842450375802832,-12.302923322696794
-63.78507903387767,7.238219671799181,-12.384438769908115
-63.785065142138365,7.634321476448001,-12.349917674055272
-63.785138446808176,8.030094701670215,-12.430061927515618
-63.78513430806711,12.386654322948518,-12.24583496946655
-63.7851425030169,14.366870726452222,-12.175345879821377
-63.78500903169768,14.763423138989378,-11.983574795882982
-63.78501474131608,15.159451080471753,-11.97482995105428
-63.785039738247185,15.55540634219348,-11.991448380575134
-63.78511392319427,15.951176250295148,-12.072750219554596
-63.78521021592562,16.346862850343854,-12.183124319991787
-63.785174882041034,16.743045454739626,-12.12040629376227
-63.78526522887804,17.13875446051093,-12.222961401894313
-63.785279715761696,17.53474932690669,-12.22575886937478
-63.78515295678653,17.931276445533484,-12.04281467729917
-63.785114731548525,18.32746994532342,-11.97629445266687
-63.78522205367938,18.72311498364036,-12.101172475438517
-63.78506127498684,19.119770297674965,-11.873491546895695
-63.785219474857,19.911273071895664,-12.049021876779596
-63.7850992783232,20.307775461485548,-11.874707450982953
-63.78520149827258,20.70343972618894,-11.992875983933267
-63.350237033666104,-3.453744226978585,-12.349741700729195
-63.350256148287514,-3.057766799138328,-12.358624753296686
-63.350202978484596,-2.661516984224543,-12.272452070765208
-63.35027411868559,-2.2657356027040323,-12.349749996312973
-63.35035123376904,-1.869976736141064,-12.434905034212555
-63.350367848529444,-1.473989888154845,-12.440500710152604
-63.35033718091474,-1.0778248675139288,-12.383918939683634
-63.3505287534449,10.406887484640889,-12.164500636459932
-63.35067163285275,10.8023985336134,-12.33613732314212
-63.35064136420211,11.594611507704869,-12.263827071228123
-63.350446476605505,12.387444810080531,-11.975038994951477
-63.35062521564815,12.782820730343662,-12.193831953193348
-63.35062352895075,13.178876543125225,-12.17536077738324
-63.35067234042167,13.574742065281779,-12.223295892475077
-63.35048347562918,14.367552672118206,-11.942427946686514
-63.350496482383186,14.763553116039002,-11.943279008504758
-63.35053633753889,15.159452387990353,-11.979436356345573
-63.35041860050389,15.555945509529968,-11.808356229885417
-63.35051659887989,17.139774052814495,-11.8722139075997
-63.35047561832694,17.535977935369296,-11.802070378331267
-63.35041875445567,17.932241670522103,-11.71103990818289
-63.350389061636825,18.724452474725002,-11.639486888780176
-63.35040815067,19.120429998988648,-11.648336292187572
-63.350577862681355,20.30793884923158,-11.822752232538047
-63.35061024447675,20.703866282806445,-11.84908193404629
-63.350642320828634,21.099794867374307,-11.875009970071524
-63.35063685033333,21.4958649385199,-11.8515630101419
-63.35054072608816,21.892276617278092,-11.708904215709675
-63.35054124519167,22.288324118011,-11.693333720500506
-62.915375265927516,-11.769336895296279,-12.191531092167901
-62.915462936340234,-10.977568347187473,-12.274313510132647
-62.91544373144584,-10.185397064293207,-12.21655236049686
-62.91546733962138,-9.789436569368545,-12.231344543473053
-62.91600829717758,9.61494834349836,-12.146313275772947
-62.91605734090779,10.010812990439712,-12.194553817341905
-62.916086477885656,10.406752651356257,-12.216616506721799
-62.91600599545202,10.803105387578611,-12.09452706601881
-62.91602319401567,11.19909003563785,-12.100890457104418
-62.9159619134144,11.595370414212349,-12.004051882102258
-62.91593179854789,11.991533351950055,-11.948196988622236
