X,Y,Z
-64.75843811405703,14.451006666691988,-12.144131965576781
-64.32381052031545,8.08510094518824,-12.093192988366797
-64.32379318736537,8.482811778668053,-12.165857845550502
-64.32380588366848,8.880295189717375,-12.340050660812306
-64.32375060063548,9.278293432945393,-12.284407484301896
-64.32371804264338,9.67611957119285,-12.305596954501171
-64.32369173076991,10.073898405317582,-12.347904354799999
-64.32363461175451,10.471910553106317,-12.28605377974503
-64.32357880381349,10.86991277165325,-12.22863590576178
-64.32358055959374,11.267479039252175,-12.365839158153673
-64.32353082567299,12.063014821799138,-12.460224370057269
-64.32347541347019,12.461014043276778,-12.40414447456501
-64.3233767064243,13.256920717070384,-12.332953094623361
-64.32337955457749,13.654478711732658,-12.473849625456472
-64.32333324750473,14.052408976756652,-12.448553887566163
-64.32315887876864,15.246468228743565,-12.25281973376218
-63.8893063750829,1.3206807385736907,-12.328362512189857
-63.88929515527875,1.7183452749813117,-12.421695722954865
-63.88923225173906,2.1164012310715403,-12.340287853622534
-63.889040823517206,3.310589680734102,-12.086876116424634
-63.889026902602076,3.7082746736351595,-12.171076956165889
-63.8890849780806,4.10541441172349,-12.498695332465156
-63.88901130767661,4.901131473943418,-12.512152049312617
-63.88890903091293,5.697065182505087,-12.428891566077139
-63.8888432718184,6.492722329507921,-12.469096170712033
-63.8888002772143,6.890627508004962,-12.454999784820163
-63.88875835542942,7.288524561652774,-12.444530566908934
-63.888732035712835,7.6863034551762555,-12.486811449886332
-63.888682522631626,8.084258000465672,-12.450676298460447
-63.88807728026195,12.462216932898714,-11.848308095099915
-63.88801802036158,14.450563553425152,-12.304287314557397
-63.887939293132675,14.848739348055274,-12.169380051057548
-63.88792835527134,15.246401749207688,-12.263666501573368
-63.88782939559223,15.64473077152459,-12.060353961882775
-63.88779497771228,16.042570995377545,-12.075255209932209
-63.88772440263434,16.440685050810643,-11.967910111671735
-63.88762098400691,16.83904784236111,-11.749522008336367
-63.887619804857856,17.23663633724433,-11.87680235739164
-63.887578401480745,17.63452946480206,-11.868085859777008
-63.887503952749206,18.032672856819218,-11.747644060937317
-63.887519278415255,18.430136354749134,-11.930726669318284
-63.88751591741552,18.827741373579364,-12.050630249995052
-63.887422698633905,19.226026917996478,-11.866727503693587
-63.887386133538094,20.021462968253946,-12.005636097428281
-63.88736300609241,20.419217685551594,-12.058709947628168
-63.887241171073164,20.81771995111955,-11.778056604345457
-63.45454223184026,-3.4538725849727956,-12.340822036912469
-63.45448096675005,-3.055829037455155,-12.264953713680246
-63.45445541510664,-2.6580559608285292,-12.309831427844408
-63.45444056776332,-2.2603639517506346,-12.390900043114264
-63.45435433207001,-1.8621312927949998,-12.230606898169313
-63.454385844698,-1.4647903846014072,-12.468417114470583
-63.454280623748815,-1.0664139434143303,-12.243935418121923
-63.453226054952886,10.471380066756565,-12.485215002870067
-63.45311256437778,10.86981913682135,-12.2327739620633
-63.452910115784064,11.66651148299904,-11.810835680322931
-63.45291428783237,12.461639016082742,-12.087475273672657
-63.45289883963402,12.859335575654006,-12.166512416939858
-63.45287032716826,13.257131075662533,-12.201379684142918
-63.452809090520354,13.655174407776359,-12.125607523410324
-63.45270597818023,14.451114444461696,-12.039521982561325
-63.45268091256114,14.848883840249648,-12.086042929690016
-63.45259210837751,15.247135951314466,-11.917065799959532
-63.45260052401847,15.644651781371527,-12.07678583145779
-63.45228859062586,17.237332425176906,-11.547216926757931
-63.452222582776336,17.635411891331884,-11.4553134838004
-63.45221124293833,18.033077336799444,-11.548240863888392
-63.45210057609523,18.829074586476946,-11.436613786704433
-63.452112604432884,19.22656305627109,-11.608548231797322
-63.45204847549128,20.419787422293947,-11.785531346870426
-63.452015744929795,20.81761486747205,-11.806137365386574
-63.45201168070778,21.215225212059867,-11.9236633736665
-63.45191994122009,21.613499553247166,-11.744762073572739
-63.45179967211608,22.01198995957096,-11.469403040276799
-63.45183398996547,22.40930962280505,-11.716697621656962
-63.020074085700216,-11.808883684815921,-12.17263529816072
-63.01999573442689,-11.013131172673983,-12.1702661433272
-63.01989735583318,-10.217226986367882,-12.10018524983473
-63.01985752695341,-9.819345783049982,-12.096792078125008
-63.01798361689928,9.676244690959566,-12.193245001875317
-63.017940197270924,10.074153088319482,-12.177711622417691
-63.01791267367108,10.47194109928762,-12.21592221407288
-63.01783131621083,10.8701368136141,-12.072122221332473
-63.017744569783986,11.268373340540222,-11.910102302362734
-63.017715532672206,11.666172813883422,-11.943195757917739
-63.01768639027878,12.063973084562752,-11.975933259537541
-63.017666347509724,12.461704440485006,-12.039436304153483
-63.01759407129843,12.859831379218113,-11.926339727726472
-63.017515385838834,13.258006857514191,-11.791573684902284
-63.01747054561838,13.655926013533533,-11.771237328328471
-63.01738554783827,14.054149297323193,-11.615129528937183
-63.01734833422308,14.452010694293703,-11.620578484231347
-63.01732340927509,14.849779024728424,-11.66757503589089
-63.01726492399537,15.247801519732793,-11.601105164194792
-63.017141512769804,16.04389528724287,-11.44638973180331
-63.017145244639885,16.441446589196453,-11.590274081611865
-63.017116618381955,16.83924295099437,-11.624756621077182
-63.01705916595223,17.237257623850734,-11.561778782716347
-63.01700721680962,17.63523061831716,-11.517407384472785
-63.016916791646864,18.43107457040471,-11.474216790253443
-63.0168607339587,18.829078680377346,-11.415954529070403
-63.016842656600424,19.226795151530524,-11.486102565596818
-63.01679902951595,19.624705120030995,-11.46986778350504
-63.0167409017416,20.022724907517365,-11.40460662623752
-63.01671164437555,20.420526048926043,-11.436955409042234
-63.016705806971444,20.818149822465138,-11.548486344625069
-63.016693637490256,21.215821551121543,-11.638608727277678
-63.01665944481595,21.613660069410486,-11.654271388489285
-62.58525425968332,-15.787856172989372,-12.259367148675636
-62.583021316455344,6.493510342837917,-12.060809337016735
-62.58299699583675,6.8912740964668675,-12.109849107269918
-62.58293487967919,7.289324089426454,-12.031103352147566
-62.582901807326614,7.687154123112496,-12.050553785767383
-62.582879392220605,8.084903445603324,-12.106036033965188
-62.582880011852716,8.482478317664183,-12.239398005399911
-62.58282749214588,8.880455633220393,-12.193097547530886
-62.582783464534074,9.278368635059662,-12.175508595165567
