X,Y,Z
-64.88930891247287,14.560326952133408,-11.923031392713597
-64.45421827718954,8.167803482662459,-11.9530289803775
-64.45425607519246,8.56754222802429,-12.089223487879876
-64.4540948527145,8.966862352355864,-11.950454191185646
-64.45401177982383,9.366346857059742,-11.919655228580067
-64.4540209765713,9.766025442346757,-12.016334657196548
-64.45393789150005,10.165509921429935,-11.985518866089585
-64.45392461299966,10.565141232128074,-12.05114681888065
-64.45385704580407,10.964658351616292,-12.041770299318156
-64.45370709499565,11.3640021848541,-11.91857377743702
-64.45367145791748,12.163245707153898,-12.03728478003855
-64.453532191586,12.56261201419306,-11.928849776258835
-64.45354073073491,13.36194845706877,-12.108594012217308
-64.45350201035608,13.761526253147066,-12.139071835434972
-64.45348340923174,14.161146368201862,-12.1973461283252
-64.45320995746583,15.359548910259402,-12.071469150232035
-64.0194724852078,1.3763461181464418,-12.375483726264253
-64.0193987784651,1.7758503236695429,-12.357624897597054
-64.01919658285088,2.175084264828265,-12.162247711256608
-64.019049097454,3.3737517654013707,-12.210404038081327
-64.0190067522967,3.7733219370960844,-12.235873920077784
-64.01887760466504,4.172709527877092,-12.141418764903781
-64.0187912440565,4.971846357958905,-12.190050875058393
-64.01867805921425,5.770926765765458,-12.201623013716036
-64.01860619759425,6.570094093118078,-12.270286715713759
-64.01852491944602,6.969582372895434,-12.241967343215245
-64.01850236788049,7.3691941785653725,-12.294783763933099
-64.01845612683563,7.768756155623789,-12.314871144315678
-64.01837456732682,8.168243843585355,-12.286163048104775
-64.01774066119215,12.56316212976495,-12.33407423992448
-64.01703387477554,14.559971674349116,-11.77745507756038
-64.01687432448959,14.95929531598075,-11.640996057034723
-64.01674254761605,15.358677376396608,-11.542908379530955
-64.01666137055987,15.758165868811615,-11.514728674305374
-64.016674894927,16.15785355684317,-11.617387079336629
-64.01670122864957,16.557568188159937,-11.737742703730346
-64.01672606565135,16.95727967126403,-11.856030480425613
-64.01650315183736,17.356470033620706,-11.632029330371306
