X,Y,Z
-64.91455287759037,14.362647505898511,-12.320831040513427
-64.47670779932388,8.029856703373362,-12.233719396968805
-64.47675278789757,8.425519744853764,-12.33553496290832
-64.47693090463758,8.821560010894242,-12.183376656233621
-64.4770039232416,9.217302476707854,-12.231718223830244
-64.47703472317698,9.612925314052854,-12.360602016611773
-64.4771446934074,10.00877248393774,-12.338449503867253
-64.47723406254447,10.404561279711547,-12.355598512298698
-64.47734510683519,10.800411492994,-12.331396972137732
-64.47740752089646,11.196123910365861,-12.399969245630013
-64.47760242030563,11.98774729520601,-12.403436025453152
-64.47775310584734,12.38370983373015,-12.303609301666288
-64.47785277317917,13.175063374258128,-12.488754085038556
-64.47795078061608,13.570876647037478,-12.489423466924752
-64.47805356938366,13.966703467929177,-12.480971315054008
-64.4783659719678,15.154195367586585,-12.447914685563086
-64.03862981516097,1.3008703873048293,-12.403289502403075
-64.03878037243149,1.6968325623668685,-12.303707486603827
-64.03892777402554,2.092785795679793,-12.210145679733731
-64.03906807670333,3.279790042624444,-12.505410853901742
-64.03916334439742,3.675595552221069,-12.511306951623116
-64.03928731502396,4.071482392849003,-12.462445328953441
-64.03952900217674,4.86323835283437,-12.376653278342452
-64.03970131306004,5.654797732085222,-12.423213083121734
-64.03988385803106,6.44638611007737,-12.450248913610487
-64.03996624220007,6.842155113634542,-12.480723422126221
-64.04004664858235,7.237918513045476,-12.514971032627873
-64.04017719836916,7.633823996015653,-12.45355808548163
-64.04027391095137,8.02963359976673,-12.456697712958414
-64.04135141740103,12.38357797004165,-12.465158543842907
-64.04206899980791,14.363289093411407,-12.034408425617537
-64.04221934184798,14.759250658608396,-11.935237013526091
-64.04234695587668,15.155147822977892,-11.879424728301368
-64.04237879443932,15.550773603319113,-12.006327090851409
-64.0425335449054,15.94674765998658,-11.89874554993491
-64.04262058767563,16.342529863896928,-11.920332660442416
-64.04265458174561,16.73816175196379,-12.043122876283805
-64.04263892238446,17.133652944832583,-12.260638908199459
-64.04272903540269,17.529443848426705,-12.276368785081944
-64.04289853127113,17.925459686845457,-12.140656856362096
-64.04308288061725,18.321517613251494,-11.976608360338938
-64.04310573793515,18.71711794483768,-12.12064459897633
-64.04324645810684,19.1130522460442,-12.039829206016151
-64.04360141411341,19.90512915834735,-11.73794967940596
-64.04369627891302,20.300933526324567,-11.744614394902245
-64.0437443536329,20.696605312537,-11.84054239754761
-63.601143130055924,-3.4487626348608993,-12.383025233339778
-63.60121804314258,-3.0530148009466482,-12.4277526213805
-63.60130251877062,-2.657239871147483,-12.454237170666959
-63.6014093904105,-2.2614014812561853,-12.437995961677563
-63.60150428247706,-1.8655970360168288,-12.444608658914776
-63.60156032129087,-1.4699026831912505,-12.525343244363418
-63.60170476129755,-1.073957841667384,-12.437431374933126
-63.604522653039275,10.404558146003044,-12.503247171343896
-63.604583054041825,10.800264859283796,-12.575659836642833
-63.60502051992127,11.592575566968836,-12.116372959554225
-63.60507773340228,12.383808812628814,-12.3825086346354
-63.605165798239945,12.7795939126125,-12.402145906673296
-63.60534060489023,13.175624799366908,-12.256302389234873
-63.60537300707046,13.571252176743595,-12.382129516169984
-63.60565977493558,14.363135874925566,-12.210335206144016
-63.605807614382734,14.759090348914665,-12.115938089580236
-63.605943164728636,15.155010001190691,-12.044985377901234
-63.6060641131311,15.550888278212751,-12.001889371730698
-63.60664467322098,17.13467557841108,-11.644900102744069
-63.6068095241011,17.530678255049526,-11.518049602119262
-63.606847891342895,17.926322534692556,-11.632496944986112
-63.60707994885427,18.71805120866221,-11.565075742435534
-63.607212496120454,19.113962351578753,-11.499852124805749
-63.60738837561283,20.301067407004393,-11.727246001557143
-63.60734225587032,20.69647228903253,-12.002872508690503
-63.607438565913476,21.092280752171458,-12.006780075824219
-63.60766558305097,21.488459579655572,-11.761332545276195
-63.60785515353036,21.884532300374122,-11.587323486660326
-63.60786890858471,22.280106840293126,-11.748724473748833
-63.16279679414543,-11.760651594951756,-12.31397239491707
-63.16299568113788,-10.969016911117636,-12.309831904291126
-63.16320936473395,-10.177340300451336,-12.277463347251286
-63.16331708275483,-9.781499512301966,-12.259607463748495
-63.168237348190296,9.613684931670488,-12.067482720569704
-63.16827139873154,10.009316979751166,-12.1901652039536
-63.168387710651594,10.405182119094782,-12.155914398784502
-63.16837507359338,10.800681875793016,-12.36766466371611
-63.16855899605366,11.19673859259915,-12.204430554713301
-63.16871121740014,11.592705482894141,-12.101673915361635
-63.168836544875965,11.988596168214663,-12.050223777603133
-63.16885632119296,12.384187769648253,-12.20013776360474
-63.16900593927247,12.780147283471003,-12.102347479663763
-63.169145766153264,13.176079053498105,-12.023236253116309
-63.16920597837587,13.571785231862512,-12.096009061390788
-63.169386880258585,13.967833389728188,-11.938537427803853
-63.1695263590943,14.363764173554149,-11.860090180618855
-63.16968122019107,14.759738543698708,-11.752297585105387
-63.16982612637732,15.155684706163031,-11.663496366470085
-63.170050794886855,15.947392443068468,-11.610171455211752
-63.17003358819559,16.34287925150894,-11.830639389972113
-63.1701669716843,16.738792763899063,-11.763820477536035
-63.17029695682279,17.1346966469131,-11.703484732367787
-63.170363946418874,17.530422029265697,-11.763328076960372
-63.17061882446835,18.32221536624155,-11.652371230559847
-63.170699652054424,18.717979959152093,-11.68581529391944
-63.17078280077652,19.113751129104443,-11.714831234204093
-63.170968400099504,19.50981259737526,-11.54839810788187
-63.171147730820785,19.90585630328541,-11.393923841125687
-63.17121958373816,20.301595466074353,-11.444489235246927
-63.17127215085489,20.697279981692347,-11.531846914617761
-63.17133086936961,21.09298192756928,-11.607469328532543
-63.171299332341825,21.48842813036604,-11.855275813530046
-62.72551365277959,-15.71863673818497,-12.280683775091745
-62.7309839652465,6.446855238970772,-12.352706878572066
-62.7310750843538,6.842648993362781,-12.366517399533233
-62.73127427119159,7.238748962459131,-12.174162833358515
-62.73136582545004,7.634543949871291,-12.187143199230652
-62.731497880198994,8.030453697218366,-12.122859176222645
-62.73155127214675,8.426140550031695,-12.208643292792718
-62.7316598070115,8.821983652744427,-12.18922908389007
-62.73175107574265,9.217777831102252,-12.202754161506192
-62.73185927147009,9.613619972854421,-12.183986938249417
-62.73214065754978,10.009952857146052,-11.834817624586425
-62.7322653227373,10.405841665843278,-11.78463096042241
-62.732330271025184,10.80156126405857,-11.848368589496662
-62.732431952750964,11.19738494809826,-11.842028385085559
-62.73251793212998,11.59316413884239,-11.865644169128293
-62.73266980899546,11.989130053035263,-11.763544709809382
-62.73281807694279,12.385085741198608,-11.668330126494899
-62.73293702132957,12.780958339753404,-11.629057260367311
-62.73303757479586,13.176778826819785,-11.624869481233048
-62.733169253473605,13.572687508552479,-11.561302904154063
-62.73330966780395,13.968620943143982,-11.481070976843327
-62.7333861491234,14.364373220715335,-11.522806585087789
-62.733454855102764,14.760103466515964,-11.57937551739814
-62.733600737684384,15.15605239563985,-11.488711590662112
-62.733718360905705,15.551921250613779,-11.451959164166894
-62.73387047009724,16.343423387475593,-11.537058535981885
-62.733936041099376,16.739144750179303,-11.599608188435507
-62.73404841481174,17.134998730436855,-11.572870457980128
-62.73416040798906,17.53085163243155,-11.546858689291547
-62.73423555861798,17.926600139432374,-11.591132908524667
-62.73443986442515,18.322714613355302,-11.38901268183347
-62.734490400227386,18.71839337315368,-11.480245580285489
-62.73455454299342,19.114110688887127,-11.545519935263844
-62.73465412719386,19.50992842949575,-11.543181262966792
-62.734829204464674,20.30149564742827,-11.584463520797724
-62.734879318391066,20.697173211822683,-11.676501248498447
-62.73499950234613,21.093049322749163,-11.63486360888571
-62.7351064344644,21.88442344837149,-11.806149071620029
-62.73511075110953,22.279971244139606,-11.98555608559711
-62.287413676248946,-22.843220934965103,-12.304567542252153
-62.287599221533554,-22.05162405545153,-12.32587955577861
-62.28772943148115,-21.655719535430844,-12.265114933361486
-62.28789187041217,-20.864188128794318,-12.330507852261128
-62.293003990218516,0.113682200492897,-12.52294312654964
-62.293102611474055,0.509497212554484,-12.522441502341252
-62.29322425757362,0.9053774665321851,-12.478014471806251
-62.29332277365084,1.3011921805664024,-12.477713500439172
-62.293790609560915,3.2801956361677616,-12.5234146600068
-62.29409691799322,4.072134703413004,-12.314342036490459
-62.294294891625235,4.863766799199823,-12.311943999717366
-62.29439503024391,5.259586110777151,-12.308547641803612
-62.29458876463832,5.655670630133466,-12.126594917684988
-62.29462903063196,6.051320289973997,-12.237419936504336
-62.29471477318992,6.4470988096752135,-12.26148751345438
-62.294739831422895,6.84270537765175,-12.401324979290456
-62.294922582011395,7.23875877390728,-12.240326496449873
-62.29503901265846,7.634624249669194,-12.205849191069488
-62.29522717368682,8.030692976645781,-12.034528997970861
-62.29538811109526,8.426684564288722,-11.915144382206188
-62.29551411845153,8.822577176080623,-11.862397209607968
-62.295650645047765,9.218499594605188,-11.789582066523929
-62.29579134243865,9.614433831261287,-11.708810133407582
-62.29584829531404,10.010130774120876,-11.787800927391714
-62.295964043031006,10.405994314770027,-11.754626474792591
-62.29604548815527,10.801760657502408,-11.78689243610027
-62.29619588477118,11.197722377342522,-11.687616907475107
-62.29637391555086,11.593762399810442,-11.53562259078988
-62.29645825545406,11.989536945027208,-11.562366067758393
-62.296587414079646,12.385438486080387,-11.503607093952368
-62.296701809124706,12.781298193873813,-11.473013187081492
-62.29682229442807,13.17717515868399,-11.43080065339261
-62.29693631582653,13.573033807733216,-11.40091956692704
-62.29702941181438,13.968833163703932,-11.410958714619799
-62.297155673708744,14.36472649674075,-11.357725949620583
-62.29724450926063,14.760513780577355,-11.37589289962358
-62.29741732721622,15.15653903227725,-11.23384329377668
-62.297416997361005,15.55207366198067,-11.422114620396025
-62.297542377064026,15.947964495289268,-11.370564846709394
-62.29769159086926,16.343922863582918,-11.273545812821549
-62.29776519221422,16.739666980618942,-11.320775662410792
-62.29787547145957,17.13551502611137,-11.298033629583978
-62.297966366416915,17.53130814536461,-11.3122717702858
-62.298031661586855,17.927028726485567,-11.3753476387412
-62.298128741362994,18.32283937069697,-11.377786755787652
-62.29823083330735,18.718664217109204,-11.370663961142961
-62.298286653576874,19.114357950679832,-11.451815472196516
-62.29841416479192,19.510254823722196,-11.396199328670967
-62.298513047739455,19.906070577299708,-11.395198464282595
-62.29856401355367,20.30175055555608,-11.485611011865553
-62.298687333290204,20.69763555185826,-11.437991117832258
-62.298834790859445,21.093588943779388,-11.34432252486428
-62.29883124716121,21.489114466916202,-11.53872502700183
-62.2988721608107,21.884765961918234,-11.648314487121493
-62.29870923853363,22.675375443150493,-12.334411861604519
-61.849979090397255,-27.197170767224357,-12.372553514012697
-61.85125503415117,-22.051592987326813,-12.377731742264269
