X,Y,Z
-64.88226072630695,14.493497916195528,-12.098986732907104
-64.44583536451144,8.129751625249456,-12.095423270213862
-64.44584510345976,8.527625600566521,-12.151371956537083
-64.4458891513394,8.92507237276985,-12.035293079727882
-64.44590138546432,9.322915278998565,-12.078730762746789
-64.44592712240112,9.720590052818519,-12.054464331206544
-64.4459399260737,10.11842586723382,-12.095046259360894
-64.44595611512372,10.516219528083868,-12.118653650383708
-64.44597137068546,10.914024812411897,-12.146941621995303
-64.44598289973203,11.311876498035641,-12.193914620871128
-64.44602323501506,12.107364739606469,-12.201231488703469
-64.44603983462001,12.505153288366825,-12.22278032653613
-64.44607616172118,13.300691438451391,-12.250194519811382
-64.44609171302031,13.698493040358002,-12.27699964176122
-64.44610769029765,14.096289338128978,-12.301668876849117
-64.446167090012,15.289535437282717,-12.318175757668566
-64.00934591489111,1.368808092663752,-12.3084204772697
-64.00936210843942,1.7666016975027674,-12.33200531358351
-64.00940129517645,2.164108998996438,-12.240300571656213
-64.00945046859712,3.357482432471552,-12.308082858259809
-64.00947423859199,3.755181697981634,-12.293678821501317
-64.00948948965947,4.152987038270327,-12.321989327537601
-64.00953599529883,4.948398448668347,-12.29836756452661
-64.00956346444814,5.744046894949066,-12.370196194956831
-64.00961903074713,6.539345485102721,-12.301143602708173
-64.00963993884851,6.937080385934314,-12.301089315129005
-64.00964480636286,7.3350150186861205,-12.38146373792045
-64.00966294378983,7.732784419010615,-12.39530182027604
-64.00969116301437,8.130428284230046,-12.358589011200047
-64.00993550052767,12.505333532018192,-12.286047900488128
-64.01007572538086,14.493563706865578,-12.106852465837806
-64.01012247438737,14.890976845558303,-11.97722993569056
-64.01013306273848,15.288840244401387,-12.028919652479374
-64.01014319441262,15.68670932963002,-12.082899181814419
-64.01019689675599,16.0840358877437,-11.918412097668295
-64.01021639797487,16.481788306596496,-11.925412024821513
-64.0102321071427,16.879587942775935,-11.951425581252126
-64.0102763166929,17.277032701912816,-11.834536076185183
-64.01025554796051,17.675286548466634,-12.043452568829581
-64.01028940037388,18.07286027113942,-11.97849452702206
-64.01032447842739,18.470418732559086,-11.907391033343021
-64.01032475738657,18.868410500435136,-12.010772817004726
-64.01037332818134,19.265800954841826,-11.872015703510153
-64.01044118790544,20.060946471458344,-11.74132295294688
-64.01046836708457,20.458603286968486,-11.709825009778069
-64.01050007195332,20.85620375013476,-11.655634918377123
-63.57302047315992,-3.404201403328088,-12.2229723180039
-63.57302916136561,-3.0063143445222256,-12.284189506878871
-63.57303975049551,-2.608450955376371,-12.335875318734043
-63.573063690908754,-2.2107538118580097,-12.32061679135216
-63.5730791897842,-1.812951557189423,-12.347684769653727
-63.573095770891676,-1.415162778105267,-12.36932635505888
-63.57311592335041,-1.0174184682690655,-12.373060916582714
-63.57373020813563,10.51679466708923,-12.331625456024017
-63.57374089089335,10.914656890413331,-12.382841810942612
-63.57385575305231,11.70921714873923,-12.016475315712603
-63.57389391409491,12.504732463210395,-12.034693988616027
-63.573902861910895,12.90261628943745,-12.094609471963336
-63.5739068022161,13.300562467480866,-12.179632990996483
-63.57394100148146,13.698131871271183,-12.112935807309299
-63.574010631346304,14.493255346698806,-11.973367437884237
-63.57404720354199,14.890795203569903,-11.894772203016116
-63.5740776378057,15.288411487876585,-11.846953020773558
-63.57410401342053,15.686078309095288,-11.819484209452137
-63.57423763003138,17.27639552614226,-11.568642493096524
-63.574272356280765,17.673958368106952,-11.499302971781237
-63.574281698551474,18.071837282718185,-11.557240629397967
-63.57437919340722,18.866613792781415,-11.277955099191658
-63.57438332219807,19.26455762386597,-11.362033537046967
-63.57441198195257,20.458186486516958,-11.532672889210486
-63.57441575313492,20.85613477042065,-11.618544403029706
-63.57442712544041,21.253988407731196,-11.666303313580952
-63.57448166565478,21.651304532960577,-11.497615081089954
-63.57452451261076,22.048766258656048,-11.387557725969385
-63.5745242392527,22.446764903797824,-11.493708869720841
-63.13651831063436,-11.756967604673543,-12.08059096528095
-63.136529603822744,-10.961117740843747,-12.233527080699847
-63.13657129329136,-10.16564636112983,-12.234053960207671
-63.136606728974755,-9.768092352795382,-12.161157283430596
-63.13766569689591,9.720488567399794,-11.985657239451315
-63.137683160782444,10.118266354420244,-12.002872504279859
-63.137690555850355,10.516169514936824,-12.070573583270892
-63.13772837054888,10.913693900586189,-11.985748345678148
-63.13775526542892,11.311354256091468,-11.955675899483527
-63.13780796686172,11.708693277201943,-11.796207456115551
-63.13781782911458,12.106565717172778,-11.851537884138184
-63.1378444346502,12.504229675496246,-11.822916232670002
-63.13787469592661,12.901848113781808,-11.775964421767908
-63.13789208832714,13.299626790921458,-11.79353812274104
-63.137913841346304,13.697351171125186,-11.789247353906582
-63.137968946914,14.094660256767831,-11.617724397341078
-63.1379834420674,14.492475009440938,-11.649825113472646
-63.13803324549413,14.889850115534873,-11.504887490622522
-63.13805287573368,15.287600927866405,-11.511240498477024
-63.138088521871175,16.083147557078497,-11.542069094855675
-63.13811691458239,16.480789262100842,-11.504486410493163
-63.13814208082538,16.878471142005232,-11.483081480518878
-63.13817703855703,17.276031101631705,-11.412581289713643
-63.13820624378057,17.6736626895277,-11.370924607442053
-63.13824109414882,18.46921922738716,-11.405743250723607
-63.138265750200965,18.866907460013945,-11.386896456041812
-63.13827507889776,19.264786543642902,-11.444902174273507
-63.138310614212514,19.662339311401546,-11.371505938339235
-63.13834257137319,20.059936633114827,-11.316050836253709
-63.138356512303844,20.45775828678054,-11.350930466894257
-63.13835458555533,20.855777519376364,-11.465371834773798
