X,Y,Z
-64.85330600953901,14.43168699285727,-12.086915009125226
-64.41779243643039,8.063915339437512,-12.09278251157607
-64.41775447451359,8.461537382738568,-12.183124982970773
-64.41773474520024,8.859646413617256,-12.151437150359586
-64.41771507184677,9.257756939169521,-12.11937477950778
-64.41769092160904,9.655747888434506,-12.117276069668916
-64.41766689455733,10.053742127961419,-12.114352879531632
-64.41764725883876,10.451853658730098,-12.082038619575322
-64.41759511513483,10.849096910588706,-12.267299394817385
-64.41756216068221,11.246852701813182,-12.32412704878536
-64.41750810632526,12.042680915828074,-12.358440196826955
-64.41747846808762,12.440525282198381,-12.393072516713334
-64.41742375393089,13.236335873150928,-12.431801686340872
-64.41740299527459,13.634417410576793,-12.407003217170457
-64.4173676038449,14.032108110847338,-12.480141490243781
-64.41730254422137,15.226278372513871,-12.424377004912714
-63.98227796306369,1.2974836452362168,-12.268410990666196
-63.98225298479891,1.6954524781376081,-12.271854242668482
-63.982233025443875,2.0935553646696676,-12.241706072508359
-63.98216153951447,3.287553981559758,-12.228952672475012
-63.98213222937135,3.685407111240161,-12.261389064915413
-63.98211034225096,4.0834585077158865,-12.244143374233417
-63.9820572439019,4.87931225642527,-12.27205798836055
-63.98199337593349,5.674878351708736,-12.372053363108629
-63.9819270622908,6.470379123737554,-12.488417567346717
-63.98190256419859,6.868360781909572,-12.488647037837561
-63.98187454438376,7.266248375885743,-12.512447299318051
-63.98184907266022,7.664204028645835,-12.519193257022476
-63.98182944555533,8.06231578948345,-12.486821345941287
-63.98157009583167,12.440384579803698,-12.42155046344372
-63.981488451743004,14.431383865485055,-12.149314190073747
-63.98148198441379,14.829847120134776,-12.028864268972502
-63.98145191463981,15.227679960293871,-12.066384849524367
-63.981430616436406,15.625747086572508,-12.045197553925021
-63.98142087026185,16.024122764209068,-11.94669285285934
-63.981416607276245,16.422644896240325,-11.811489321816826
-63.981361537966585,16.81981000601368,-12.016331094322938
-63.9813488028651,17.218105850274213,-11.937831197454999
-63.98132508477747,17.61610834214282,-11.932840119307647
-63.98128783624367,18.013749439698497,-12.018407938143573
-63.98127812170466,18.412125962311432,-11.919691501236839
-63.98126241962504,18.810342559441636,-11.861049505985136
-63.98123844841807,19.208338290566058,-11.857752548397894
-63.98117614230661,20.00394610259806,-11.947294458337968
-63.98115365476242,20.401981461927477,-11.934067387299391
-63.981130171105654,20.799990215377335,-11.927507269822469
-63.54666593225961,-3.478373804236213,-12.278310793327654
-63.54663839056104,-3.0804734399122045,-12.298911035971475
-63.546604597385,-2.682740050748311,-12.361352242279066
-63.54657279210021,-2.284953565582337,-12.410488548082329
-63.546552175644294,-1.8868682300248483,-12.38473833561208
-63.54652797545599,-1.48887861492573,-12.382973943677225
-63.54650845387775,-1.090764035501482,-12.349895745619058
-63.54578904328087,10.450464574267668,-12.41655906177669
-63.545781977601756,10.848911847164127,-12.300113879806856
-63.545761464733104,11.64563594465482,-12.109934786333618
-63.54570399395122,12.441372906944677,-12.167113970917448
-63.54566357390291,12.83892929426234,-12.273908647624541
-63.54563954090308,13.236923374917412,-12.27102526789028
-63.54560595413297,13.634662277124452,-12.33208500503034
-63.545574204577875,14.431086245961337,-12.217112739293523
-63.545559636286924,14.829333126260337,-12.150882328107647
-63.54552337239573,15.227000523335343,-12.229859961717795
-63.54551126447722,15.625313119472805,-12.147162346617769
-63.545465640691944,17.218638501918594,-11.797578766133821
-63.545442208870476,17.616648639873937,-11.790671716550449
-63.545412282441035,18.01448530872457,-11.827232896056035
-63.54537915813437,18.8108725583439,-11.721461803995846
-63.54538445765847,19.209650102251096,-11.52225666327159
-63.54526220972071,20.402292880542504,-11.849251963131882
-63.54523347033459,20.80016125497737,-11.877868295034398
-63.54521019840733,21.198175663661114,-11.86989107795318
-63.54521531930805,21.596948436589283,-11.671881458525018
-63.54520891065709,21.995413258518173,-11.551038805544136
-63.54517700906967,22.393197171468668,-11.60081966214121
-63.111306541309105,-11.835207272429157,-12.07091930244286
-63.11125320042644,-11.03936000172249,-12.100457187217378
-63.11121292669304,-10.243163711228613,-12.042537007992692
-63.11118515437139,-9.845269506780705,-12.06468080448479
-63.109974692283686,9.655563162276374,-12.143226506001323
-63.10994194903193,10.053324594615264,-12.198640598436148
-63.109929632233445,10.451631611628047,-12.117341011359803
-63.10989502117375,10.849343155355992,-12.185256289927231
-63.10987721202312,11.247503473227583,-12.140716861885092
-63.10987697708641,11.646133193283156,-11.978553712330545
-63.10983530780381,12.043656213913119,-12.093709479197816
-63.109809328816745,12.441598317810671,-12.103850537482364
-63.109787800323815,12.839659293122535,-12.084204563235751
-63.1097655330978,13.237700537086674,-12.069502908853652
-63.109733913661685,13.635491986217362,-12.117395334625735
-63.10971100588032,14.033516121132692,-12.10698089930999
-63.10972525457465,14.432532694794732,-11.847879213007271
-63.10971337772965,14.830851462838618,-11.763635029469423
-63.10968610967736,15.228759136175707,-11.782403765255221
-63.109660647024874,16.02535102636794,-11.625353436379244
-63.109616269754554,16.422801717427195,-11.758633689164638
-63.10957154095855,16.820243019337283,-11.894266693413048
-63.109585444911765,17.21925038506329,-11.637472349797788
-63.10956023365549,17.617212994828613,-11.642475007448352
-63.10951012005163,18.41314646522133,-11.650412805549426
-63.10948174422029,18.811024550099493,-11.67659587549231
-63.10944939073045,19.208796392866876,-11.729401302287785
-63.109436961128615,19.607100396934854,-11.648856704853669
-63.10943019556304,20.00555568577735,-11.530402871376477
-63.10939991949778,20.40338301595604,-11.569304153644834
-63.10936854551941,20.80118102119183,-11.615553737706266
-63.10934030408927,21.19906269588743,-11.640837264156449
-63.10930189455252,21.596672783388918,-11.734175643281462
-62.67562611306505,-15.81561960749773,-12.211130106355531
-62.67423931829325,6.470955232468038,-12.32371650247304
-62.67421689144636,6.868992213004898,-12.310083186089795
-62.67420909298056,7.267419913380028,-12.19854252496917
-62.674187608330804,7.66548205973067,-12.178603109525135
-62.67415527215041,8.063254364827854,-12.23129268481131
-62.67412431880352,8.46106360500959,-12.274726994058186
-62.67409135865853,8.85881924419285,-12.331592746798393
-62.674072218943245,9.256944023066342,-12.295958750709987
-62.67407057353006,9.655536069702183,-12.1432358807021
-62.674069818965314,10.054151910642624,-11.984550587099786
-62.67407080785253,10.452814318681964,-11.814196418349292
